data,valor
2006-07-01,1.1537
2006-08-01,1.2393
2006-09-01,1.1064
2006-10-01,1.1279
2006-11-01,1.0996
2006-12-01,0.9854
2007-01-01,1.0684
2007-02-01,0.8643
2007-03-01,1.0441
2007-04-01,0.9758
2007-05-01,1.054
2007-06-01,0.9372
2007-07-01,0.945
2007-08-01,0.9779
2007-09-01,0.8394
2007-10-01,0.9664
2007-11-01,0.9238
2007-12-01,0.8801
2008-01-01,0.9213
2008-02-01,0.8808
2008-03-01,0.8555
2008-04-01,0.9588
2008-05-01,0.9526
2008-06-01,0.9723
2008-07-01,1.1097
2008-08-01,1.0527
2008-09-01,1.1227
2008-10-01,1.1479
2008-11-01,1.0102
2008-12-01,1.1347
2009-01-01,1.043
2009-02-01,0.8447
2009-03-01,0.8947
2009-04-01,0.837
2009-05-01,0.7241
2009-06-01,0.7354
2009-07-01,0.7577
2009-08-01,0.6912
2009-09-01,0.7248
2009-10-01,0.7246
2009-11-01,0.6907
2009-12-01,0.7577
2010-01-01,0.6913
2010-02-01,0.5918
2010-03-01,0.808
2010-04-01,0.8157
2010-05-01,0.8115
2010-06-01,0.8863
2010-07-01,0.8852
2010-08-01,0.8862
2010-09-01,0.8866
2010-10-01,0.8462
2010-11-01,0.8993
2010-12-01,0.9695
2011-01-01,0.9225
2011-02-01,0.8855
2011-03-01,0.9402
2011-04-01,0.8626
2011-05-01,1.0135
2011-06-01,1.0255
2011-07-01,0.9398
2011-08-01,1.0104
2011-09-01,0.9357
2011-10-01,0.8633
2011-11-01,0.7985
2011-12-01,0.8584
2012-01-01,0.7948
2012-02-01,0.6523
2012-03-01,0.7267
2012-04-01,0.6709
2012-05-01,0.6956
2012-06-01,0.62
2012-07-01,0.6216
2012-08-01,0.6279
2012-09-01,0.5424
2012-10-01,0.6111
2012-11-01,0.5342
2012-12-01,0.5367
2013-01-01,0.5926
2013-02-01,0.5001
2013-03-01,0.6012
2013-04-01,0.6569
2013-05-01,0.7237
2013-06-01,0.6492
2013-07-01,0.7765
2013-08-01,0.7801
2013-09-01,0.7661
2013-10-01,0.8604
2013-11-01,0.7799
2013-12-01,0.8335
2014-01-01,0.8918
2014-02-01,0.8173
2014-03-01,0.7764
2014-04-01,0.8583
2014-05-01,0.8998
2014-06-01,0.8596
2014-07-01,0.9425
2014-08-01,0.8736
2014-09-01,0.9417
2014-10-01,1.0063
2014-11-01,0.9097
2014-12-01,1.0288
2015-01-01,1.0416
2015-02-01,0.8831
2015-03-01,1.1099
2015-04-01,1.1225
2015-05-01,1.104
2015-06-01,1.1605
2015-07-01,1.2138
2015-08-01,1.1082
2015-09-01,1.1082
2015-10-01,1.108
2015-11-01,1.0545
2015-12-01,1.1605
2016-01-01,1.0545
2016-02-01,1.0015
2016-03-01,1.2136
2016-04-01,1.1075
2016-05-01,1.1605
2016-06-01,1.1605
2016-07-01,1.0996
2016-08-01,1.1898
2016-09-01,1.1218
2016-10-01,1.0254
2016-11-01,0.9934
2016-12-01,1.0045
2017-01-01,0.9363
2017-02-01,0.7387
2017-03-01,0.8854
2017-04-01,0.7367
2017-05-01,0.7628
2017-06-01,0.6855
2017-07-01,0.6237
2017-08-01,0.6417
2017-09-01,0.5568
2017-10-01,0.5778
2017-11-01,0.5115
2017-12-01,0.4947
2018-01-01,0.5422
2018-02-01,0.4434
2018-03-01,0.5422
2018-04-01,0.5175
2018-05-01,0.5669
