data,valor
2006-07-03,2.1685
2006-07-04,2.17
2006-07-05,2.208
2006-07-06,2.177
2006-07-07,2.182
2006-07-10,2.1789
2006-07-11,2.183
2006-07-12,2.2025
2006-07-13,2.2244
2006-07-14,2.212
2006-07-17,2.2012
2006-07-18,2.1912
2006-07-19,2.1839
2006-07-20,2.1919
2006-07-21,2.199
2006-07-24,2.1909
2006-07-25,2.2016
2006-07-26,2.1957
2006-07-27,2.1921
2006-07-28,2.1754
2006-07-31,2.1775
2006-08-01,2.1905
2006-08-02,2.182
2006-08-03,2.1756
2006-08-04,2.182
2006-08-07,2.1851
2006-08-08,2.1714
2006-08-09,2.1663
2006-08-10,2.1565
2006-08-11,2.166
2006-08-14,2.1634
2006-08-15,2.1435
2006-08-16,2.1409
2006-08-17,2.1416
2006-08-18,2.1468
2006-08-21,2.1286
2006-08-22,2.1342
2006-08-23,2.1516
2006-08-24,2.1528
2006-08-25,2.156
2006-08-28,2.1404
2006-08-29,2.137
2006-08-30,2.1375
2006-08-31,2.144
2006-09-01,2.139
2006-09-04,2.123
2006-09-05,2.1386
2006-09-06,2.15
2006-09-07,2.1545
2006-09-08,2.158
2006-09-11,2.1828
2006-09-12,2.1684
2006-09-13,2.1597
2006-09-14,2.1599
2006-09-15,2.151
2006-09-18,2.146
2006-09-19,2.1603
2006-09-20,2.1759
2006-09-21,2.2118
2006-09-22,2.2075
2006-09-25,2.2208
2006-09-26,2.187
2006-09-27,2.1891
2006-09-28,2.1685
2006-09-29,2.169
2006-10-02,2.1572
2006-10-03,2.1758
2006-10-04,2.1639
2006-10-05,2.1638
2006-10-06,2.162
2006-10-09,2.1554
2006-10-10,2.155
2006-10-11,2.1595
2006-10-12,2.1581
2006-10-13,2.1371
2006-10-16,2.131
2006-10-17,2.1338
2006-10-18,2.1369
2006-10-19,2.146
2006-10-20,2.1399
2006-10-23,2.1381
2006-10-24,2.1544
2006-10-25,2.1415
2006-10-26,2.1402
2006-10-27,2.1356
2006-10-30,2.1475
2006-10-31,2.1423
2006-11-01,2.1432
2006-11-02,2.1443
2006-11-03,2.1401
2006-11-06,2.1322
2006-11-07,2.14
2006-11-08,2.1437
2006-11-09,2.1453
2006-11-10,2.1515
2006-11-13,2.1622
2006-11-14,2.1485
2006-11-15,2.1465
2006-11-16,2.1525
2006-11-17,2.1585
2006-11-20,2.1605
2006-11-21,2.1626
2006-11-22,2.1665
2006-11-23,2.1679
2006-11-24,2.1689
2006-11-27,2.2
2006-11-28,2.1814
2006-11-29,2.1655
2006-11-30,2.165
2006-12-01,2.1667
2006-12-04,2.1572
2006-12-05,2.1525
2006-12-06,2.1465
2006-12-07,2.1425
2006-12-08,2.1397
2006-12-11,2.1375
2006-12-12,2.151
2006-12-13,2.1461
2006-12-14,2.147
2006-12-15,2.1459
2006-12-18,2.1486
